address;raw_amount;assets
0x1d3a7c45e1ada41ba23f071867c369d000ddc4eb;0;0.000000
0x1d71fbaea1a34b8b4d2a8eb3720c1c6faafa5274;0;0.000000
0x1d9c68cfa5fdfb6c585bf01f715d359f3039b63a;0;0.000000
0x1dbfbe4f9796375d36613a3bf36c77265c0cc7aa;0;0.000000
0x1decf9e9d17d0d893c1a83cd2232c29cac3ecb55;2666935;2.666935
0x1e168699f322a2206c03e5eb444cb6b5ea5155c8;0;0.000000
0x1e26a52fd1d1091eb8b6cd3205391c6e7c40f2d9;0;0.000000
0x1e4e112b8807b8883f537c91c17dafcce13946f6;0;0.000000
0x1e5f46718bf09697db487bc8de2204cff47da241;0;0.000000
0x1ecdd9c3f1e6772112078ae155a3557e72600f3b;0;0.000000
0x1eda8196bc0b0195bf35d5abf10df9135f0a60d7;0;0.000000
0x1ee9001d434b8f5ae45a59ab482f66925ef8218a;149402;0.149402
0x1f3bc29030aac7decfb3f069a70a4d20e865682e;7557;0.007557
0x1f4b52ee54b3428741a84355665ea0c8f39d472b;0;0.000000
0x1f54886b250c2e26b103cf3e9226b799b83b8e94;605752;0.605752
0x1f5559fa9945be3ac24b82d23930d17afc249227;0;0.000000
0x1f7cab552b8bd8aad2804d7863797e3819da0bad;1161601;1.161601
0x1f92b5affd12981ef0fa7ba22a802379fd36929e;0;0.000000
0x1fbcc8e4b289389ea7beaaa101868da0bf6e233c;0;0.000000
0x1fccc097db89a86bfc474a1028f93958295b1fb7;0;0.000000
0x1fcee4f6494ec9b807f023c9b59d6be1ed4d1c0f;0;0.000000
0x1fe809df2a62fe97366593146abeabf837c066c3;0;0.000000
0x2021991a69a4d8cca9d627291a2f0620af05e003;0;0.000000
0x2025ca90de3d649da0b394e66e14de50a198cf8d;1510745;1.510745
0x203cf6a16897d05a6e96b4242fc3968720974cda;0;0.000000
0x204dac213492a815421a2735c0d06dba0cf99caf;0;0.000000
0x204f18e8cf133a34ffd477856e7001e31b2683b8;74688;0.074688
0x2066a3d7ac72eb573a3565c51feed5eb446ba6d5;0;0.000000
0x209f1a7df7730a2275b462fb632cc53e1cd57ea8;0;0.000000
0x20d5f3f40dd1783d4e1075fc028732d60d2b9dd6;0;0.000000
0x20e1278201ac58d6f62ea5f7198ca14cb043ec2b;0;0.000000
0x20f537312240f9f768d7e1f1b33e5b733b9cd25d;0;0.000000
0x20fb0ce14c11277b07849a184472a5ebd149eb54;0;0.000000
0x2161a8a79f7d237434792d22a17a8911bee9322b;1011359;1.011359
0x216244113869e6aabf706831fa079496db452901;0;0.000000
0x2165cc15c59527b05f70c9ab504f47bf8e7ac31d;0;0.000000
0x21675eb4b84d8da317b79dcb2b7cce748f7956cd;0;0.000000
0x216be7c987b81a71bc0198b98752bb4a51be18ec;0;0.000000
0x21885e45d0773a2c48a8be32e6ca2cdb3e64cc26;0;0.000000
0x21ae49c55c7542b5a2ed20e766d5d01114dda356;0;0.000000
0x21cef6f7087adb8ccacbde9e5241511e6db7a9bb;87956;0.087956
0x22138a0cff84952c018cbcbf5650149017d6b292;0;0.000000
0x22216c68b75038ef88d18a979dfc881b5121acde;0;0.000000
0x22a8b7a9e1027e645a65e5559ce288c32c3e3d6a;0;0.000000
0x22b387735f956b1d58897f2af2aee972b7b08095;0;0.000000
0x22e916361cf092c02a12ffc57a55447ee1a6da3f;0;0.000000
0x231d04d32ddc9573b775b1738b51f8108639017c;0;0.000000
0x232feca53225f905613b14f9a9c0c4b9399c4fe4;0;0.000000
0x233678715ab644073512c513d00a0f0b922c2074;228272;0.228272
0x2345eab815cfff5a94997a2b9bacd9aa5c3f598e;760703;0.760703
0x234ca0004c5ebe6f1c3503b9706a8ec7e4cd168e;0;0.000000
0x235615576f75933e7e26f3e775e28ec7ec251b2b;0;0.000000
0x2362d1ab114752f8937abb980960e361e6435894;0;0.000000
0x23a5973d18990210324e5553507ac8feb939dd57;20805757;20.805757
0x23b2d6d3fc828e7f0fc758fd591d5e7a395266a7;0;0.000000
0x23cd671c5fb77251579ae915dc3581bf099338ee;0;0.000000
0x23f0d08797a87e63f55637b02ef25361290d52e4;765258;0.765258
0x23fce5de29d7ab382a9aecd2e727167c6747496a;0;0.000000
0x2406017a9c9d34608f67b46047a94c577d884b72;0;0.000000
0x2409e63be7c13b71ff9690acad1ddc04c92a8006;1561943421;1561.943421
0x2418f2876cef7d9c0ce7fb04bad88077a9e15edd;0;0.000000
0x24313ac2cc6e514311084a7b8158389f6c94c5aa;0;0.000000
0x2473870ebc724d415c8ab4dbdba7d03f49d1f039;3700461;3.700461
0x248b007f76e7616791b8fe278c93096ddcf67f25;0;0.000000
0x2493b7809f8ed73224a6867a8b82b7329fa598a7;0;0.000000
0x249485e8a4446e8b2b71b23750ae62cabdd72b63;0;0.000000
0x24e9a18a75faceedd14aeee845c0b8c66f112f91;0;0.000000
0x250b5952b860dcbc3edb9ca826acba7f6d378181;0;0.000000
0x256455b367f1dd4438aa53cdbfd40782a2ced64e;0;0.000000
0x25659eefd7cae21566a257420bbcb0c8317ef94f;0;0.000000
0x258473a955e900385f984fb3fbfd7480d5949cd7;0;0.000000
0x259224e5652b84a00f8d15c63d756488ca25a65b;0;0.000000
0x25b0ab9c64733a22d90cffe9284373d7e9664141;285557;0.285557
0x261aec3ff5982d4bf982c00857bf02aac731f313;0;0.000000
0x26ae58f1b215e776539f465cf3aebbda877489f6;0;0.000000
0x26dcb0d7d48aa979da81f2fce331ce6e028b00d7;0;0.000000
0x26de647d5d28583395418e3718b72d55e95fa977;0;0.000000
0x270def6a42a6cb81316968149c2bd32b2a264669;737273;0.737273
0x27146cd533760e0867db2647dad531fde92d80ef;372756;0.372756
0x27152c3135d83a0b5d0f6d0a2cdc1bf0bfab985c;0;0.000000
0x2743addd5b1cba5fd1014dc569ebe5fa80d8a9b2;758587;0.758587
0x27c846d12d9317d1b341d61f4facf2d38e748494;926764;0.926764
0x27d475c8279fe603647a976cf55b657b0cef8070;0;0.000000
0x281e5c38bacea0f32e48edc9952de4c068f9012e;54090865;54.090865
0x28268f23e578ce72309988c05bd61da0faea8a7d;0;0.000000
0x285b196dfab5c9134cf9a7e8b74cfe9abe34c3f7;0;0.000000
0x288a4e70eba5d4f92e28f8ccc561e9fc947304a1;75432;0.075432
0x28a32e55761db2671a50ac172f53cfcd48f00c3f;0;0.000000
