Network;Silo;Vault;Address;Type;Net Deposited Assets;Debt;Claim Amount;Symbol
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x4da83268b258d7ce7bde9e46ffcf8ad7d3687282;eoa;0,000965;0;0,000965;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x651aa2a9bcc8be4e3b5a349be863694bd7b59f6a;eoa;0;0;0;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x710ba342cedbf5eb7498ffed20fc8c8d51c4675a;eoa;0;0;0;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x7c73b0d9208eb2d626f0a68d6a24b3bdf4c041b7;eoa;0;0;0;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xfc41cee83153ac52eeca1c90443c1201859bc349;eoa;0;0;-0,0001;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xe3e56da9addc2e29532669140fb94fa7f21f6e4f;eoa;0;0;1;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x0f089078099748c8a196b52710b01d4cb404578d;eoa;0;0;0,09998;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x2a8de0ddc1a507e85ec0a9ab3d21d47b8373c6d9;eoa;0;0;0,006077;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xe46e43b938c8212d7bc70d29ca3b435afab55e0f;eoa;0;0;0,00102;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xa02b93be02d8fa53df05e0cd8adecb1dd55373cf;eoa;0;0;117,195268;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xe2a4a3d2d50c51ce4229f4d4f467261af4f76aec;eoa;0;0;-0,000002;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x7f95d2bb66f123c00a77b8afbf844f8060a5d2b2;eoa;0;0;0;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xd384a48947c7f109d316a2c38bf4fa3732b65ba0;eoa;0;0;19131,718218;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x30f1d8681c253b3dcf6a2c40bd6980b662e24c3c;eoa;0;0;202,086527;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xc4b03295f6e2e7a7fb6d066fbc4f1c7fc1373eb4;eoa;0;0;85,590398;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x56f8dd51f88352cef8c1f772b85157e15c372531;eoa;0;0;111,229588;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x55e9877c8e66801313607396e7e563391753f800;eoa;0;2474,766491;0,17221;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xc9cb54f65469aba8ae45c67e1355cf1ff213fe33;eoa;0;1270,153555;0,319041;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x000000007b91f5c2937100ec91eb2000e292148d;eoa;0,00001;0;0,00001;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x004c6672a94923db562c22e783a6d49b125e8976;eoa;72,531501;0;72,531501;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x0055d4369a59bc819f58a76ecc3709407204dbab;eoa;273,048287;0;273,048287;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x005f90797b3df1e67918619669b40eba901cca07;eoa;0;0;0;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x00789bc0a98c6814899d4028ab2b8d4709d34381;eoa;0;0;0;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x009d13e9bec94bf16791098ce4e5c168d27a9f07;eoa;0,000003;0;0,000003;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x015f9945f2925a84073f13ae761f4da3fd91f33e;eoa;0,000014;0;0,000014;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x017b69067d695ee631cee76c8950c09c61fbe2d4;eoa;0,000002;0;0,000002;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x019acded8552a60bb17b420781dbaec819581642;eoa;252,669657;0;252,669657;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x024899f1b2e7c3cfc5e3db7f54ecc284fd775d29;eoa;1,045332;0;1,045332;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x02afe25ecdb1bf24f3c4435c8b47c39697a41496;eoa;50192,92328;0;50027,862473;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x0302f3434dbdee9d3faf680cba8a2bae6b34a83c;eoa;16170,967329;0;16170,967329;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x0304492c94d8dafab67756c7b7aaf94e2c9ca709;eoa;0,467967;0;99,839263;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x0320a5a29f7757663f76c16f424b21cca34d56b9;contract_other;0;0;0;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x039f7e626e25d37492f92524679dca4b6afbe07e;eoa;0,000003;0;0,000003;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x03b24d959222c0a557ecf1309fbd4c83088298e5;eoa;0,000001;0;0,000001;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x03b27631a07b8241e1bd9dffeec19ba089370ba8;eoa;0,004934;0;0,004934;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x041a09a6220c9c08a0cc9bfcc31deaf9799412b2;eoa;0;0;0;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x04650ba67b062200b89537a832536be71f3e764b;eoa;129,527318;0;129,527318;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x0480ecf39debc792c579e7072e35b0c1dd4a79eb;eoa;0;0;0;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x048a58645447ecf7e2ee4ec95804aa9062075ebe;eoa;0;0;-0,3588;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x04ba30128c1c3c544dfddf12516c80b4e9de34b9;contract_other;59,665516;0;59,665516;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x04daf0c477b8d5c09f086e8a80bcbdf93c6edc1c;eoa;0;0;0;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x04fd414cacdbd8742c8adc46230bb11445203c99;eoa;0,000002;0;0,000002;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x050a5f453a8baa12cbf43b9c7a4b563bdb666980;contract_other;0,000046;0;0,000046;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x05289fc2b81b9a5bdf70a4c67376a2dfb9b7b76f;eoa;0;0;0;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x05a2e50c5e4d724897b67b708db432a38c985f83;eoa;0,000001;0;0,000001;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x05d2838e962299878bf9e8941dd396de4aa998e5;eoa;0,000002;0;0,000002;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x06708896d52e82b4a0f930544150f65277cc6bf3;eoa;12,837473;0;12,837473;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x06ba38d6b06d3cab8d53dbe4459423f5b6932d88;eoa;0;0;0;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x072ab8b22c7c7b4dd2b3367c6e7445d6c9e3cb2f;eoa;0,000003;0;0,000003;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x074f47d33293a89c9b10d8f4132a912ee4a5d55c;eoa;0;0;0;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x07d53b16899bf4b7cbf40c9d0d993e24299ab1f9;eoa;0,000001;0;0,000001;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;0xf6f87073cf8929c206a77b0694619dc776f89885;0x0811c894027d5f62cac0a50a400cdca70c1807e1;eoa;0;0;0;USDC
