address,raw_amount,Amount sent
0x2e1531c10054b22d2564e020dc3a95dcc0d940cc,3208836,3.2088
0xfdd3ae495dfdcc649ac06a3033f73405fdd68221,3027481,3.0274
0xbf989c510830945224f02d5004ced86b31f50db7,2984281,2.9842
0xe1efc2dc4805932a87370d423492c9fde26a2278,2947370,2.9473
0xa4f29bcb74d1620eb438c4e86be61f4fac9efeee,2850909,2.8509
0x1a60d723dfe0be0a73eb3857af7eab2a29fb9125,2825165,2.8251
0x6e91901fc72389ade05fb539fab340ce60abaefd,2757466,2.7574
0x635e5db0bb94fd11754bef53e9c7fb38f086f5a7,2659918,2.6599
0xa521e425f37acc731651565b41ce3e5022274f4f,2653544,2.6535
0xac207c599e4a07f9a8cc5e9cf49b02e20ab7ba69,2633830,2.6338
0xf1a50bbeba19a85db20432c6c201aa89604dfd2b,2539518,2.5395
0x1640cc5944da93c3a56484a83f7b9f326d8d1755,2476138,2.4761
0x4cb9b46e17e319d141fb8224a7c3203e0e33c468,2297914,2.2979
0xc9fc9e4629066a3a23b405a69d2eb819a4bfa4bc,2290912,2.2909
0x28c3698430d4f1a78d4359eef893cfaef6174711,2264992,2.2649
0x4a4c0ba1a4cf50d6ca2854b85c688ee0ab034ea1,2183848,2.1838
0x1892e547f4e1ba76f82a09c16c9f774744de1ff3,2162763,2.1627
0x02ff7a5b001206ecc4972d47ec0aeb234d241030,2160259,2.1602
0x71742cc139223c3ad78a5f63d518f3c792a3f4c6,2157759,2.1577
0x412730e3c55488aaa8d5f30b05aad146d9485fee,2140282,2.1402
0x5e9ff1d1f2017fc69b5e3accb0d47fc504093973,2116185,2.1161
0xfc47ee40bc82fae70b510a1de70b8622b2e1154d,2093054,2.093
0xfb2dfeeed35aa2c7c88a41fd66d180270b6066a1,2073856,2.0738
0x4a93c3c014da94070df96352d3e6795e0b682022,2063250,2.0632
0x484de6813ed85da863c5735ba710c2b971fcbc88,2061625,2.0616
0x3a39899dc78b7307acd83f51463c853fa79e1b09,2061378,2.0613
0xdd5bc4701b35726baf75041edc3a07e5b9db33e6,2060759,2.0607
0x1ff60e85852ac73cd05b69a8b6641fc24a3fc011,2058982,2.0589
0x4be474fc5ba51385902ee081e4fcfa3bc4a118c5,2058982,2.0589
0x5eec842ffb1a6c6236d0cf3814b9f4e9a8b7cba6,2058982,2.0589
0x88888887c3ebd4a33e34a15db4254c74c75e5d4a,2058982,2.0589
0x8added25f8cce417c1e19aad91fb6ddcb9917d2c,2058982,2.0589
0xa109398a8ab7af8b4b45a08797594247346c8d56,2058982,2.0589
0xe33fae378ab2eb2b8e82cc57a8f503b02a6f0498,2058982,2.0589
0xd29400fe78060bd9ed3af317c3c32a5f60b53bc3,2053272,2.0532
0xdd16e3b4a9838364964fdc83b75000f9bc614433,2052837,2.0528
0x81b40f913a4c6c4ae39271ea4004161a70b7a313,2046207,2.0462
0x1116bf593285d11207e5c3ec0166388c3f877850,2045125,2.0451
0xc4b9e8b5bdfb8e93dba6b90ea0f706cb40db94e2,2043443,2.0434
0x33ae856c155b3299e3ab8d4d1fbd6a0b2aee8d6b,2042143,2.0421
0xd2a13c0c128bc0ff2d5ca875b0785c600ed13270,2033287,2.0332
0x8d106c747cd21272d4c9ff0af8d53a9c9aca25d2,2017911,2.0179
0xe89497118e64f50b045d487fefd9c853f05e6413,2017755,2.0177
0x7cf54c0b4b5c7c4c2f468c742991fee8809f2b08,2016479,2.0164
0xa1d8a2e4a1cb12fc0b286839345923afe8936859,2005281,2.0052
0xd97da5da472e77bba0fd644e65f7fe6a918a4986,1996659,1.9966
0xa4f81b3fc81c1dc598a7abc9a777022af9d111bb,1992219,1.9922
0x55a192323b4bb47e2b0a50f0685b04eee262be14,1975344,1.9753
0x4b65586a32d6f70f510bb2c9d31dfafc10c28246,1970363,1.9703
0xf498fa9d68d20dc6975dafedce7c3650b051b8b3,1954479,1.9544
0x33e7ab9405b13147001c7cbcbc98ec17cee430c7,1903950,1.9039
0x2d1a0f69ea53d61b4f74648ca1db523610784406,1776073,1.776
0xbce5affccf480d795c6a5fee8931f51a484723cb,1709352,1.7093
0xb598f0f4cb73160fa986987a80c623b926a6e295,1701543,1.7015
0x8c2ec87cff0c087d8d80995eda437b0307e37688,1636356,1.6363
0x9b5e1f16156aa2d2b075659989b273e57a14372f,1632421,1.6324
0xc02d68b1287534d8d12a9be01a5b4ef5a1771ba3,1624206,1.6242
0x8371ff8bb82d7d4b5fa542b8372e6f60c83ad888,1578548,1.5785
0xa7d1642757b57420711d077ce7c8ff42a6743618,1573273,1.5732
0x30ef7087862f3c99242efc9633394eae629d6e9d,1537262,1.5372
0x8b2d4c5d0e84609cfdb650be807a93469dce834a,1497048,1.497
0x009d13e9bec94bf16791098ce4e5c168d27a9f07,1470239,1.4702
0x19f0c7c7ce47f5a75073c353a3937be70f877159,1350496,1.3504
0xe19763baa197e17a5663f8941177bfbbd31a7ab0,1331904,1.3319
0x096fbee7b8dfb88993a94c6145211163d2616245,1251248,1.2512
0xf3a05b89b8f857a5ad6532c8e7c4584b0d80ddf2,1202208,1.2022
0x12990834aa3c237a2ee7002c4a122ea14bc94904,1201377,1.2013
0x3333111a391cc08fa51353e9195526a70b333333,1200522,1.2005
0xf5fcaae203bd5dd81ef969c3fecc872f38aeccab,1146123,1.1461
0xd50c3c525092084805711578513460e5be559cfc,1104391,1.1043
0xeb0e6ecd0e78b0a84ecd9663a041f453c454a99d,1075918,1.0759
0x7928a66320e3799a935a877a70eb8567b7c17a75,1075689,1.0756
0x06777c10776a9ee6737aeffde48338ac5011cb80,1043274,1.0432
0x1cbc3125b7763c548b1af9b0fc3b13064745b1f6,1035195,1.0351
0xc0bafc6dd13319fddf3d721e99965b2f1fed512c,1034692,1.0346
0xfcbb098e581ce85b1cf48ee7286b118ace3ec9a2,1019846,1.0198
0xdd33d60d99b38c7cc481556f211735e16d13c46f,1019791,1.0197
0x6a35842b7aec249d63d436a462e0f9fc2a89f906,1016031,1.016
0x118cea94840d065c1a8652a62504d3d0486f6cdb,1014534,1.0145
0x77501b69d87f95ab8386acd3b7d04b590e9c2ade,1007681,1.0076
0xddaf8d2660860c08ae7d41c4254847f4d7432d89,999832,0.9998
0x7c5a6ecd0c38fafcf8c5531c84d36da3686da48c,973701,0.9737
0xb1c9f2643f55a564baf02945c37af1a1e307506a,941446,0.9414
0x5f96fea67bf519c8b3ec3517cbc251297580837a,925688,0.9256
0xb3b9dbc46fe76a77e92823b98e66c9217f84c363,892585,0.8925
0x4c2073675883e3644b5b7ebc7c920128700fe9c4,875596,0.8755
0xdb09194d9ca57ae286ecdb0b423e832306b8fbe4,861346,0.8613
0x3e10fe4101e211702e3c0d79a00ae6f3f79bcad3,856908,0.8569
0x35d79143330311398897d12e757e514414a88f0e,838223,0.8382
0x62a4a8f9f5f3aae9ee9cee780285a0d501c12d09,814352,0.8143
0xa26d789a2773e024c1bc3f95e7c6fc2794a6aa4a,808956,0.8089
0xa3a211bdfba8d614c3d030da6cdbc98940db3ba8,801040,0.801
